NAME_1,Age range,Persons
Chhattisgarh,50-54,1028
Chhattisgarh,55-59,830
Chhattisgarh,60-64,703
Chhattisgarh,65-69,547
Chhattisgarh,70-74,409
Chhattisgarh,75-79,179
Chhattisgarh,80+,109
Madhya Pradesh,0-4,7959
Madhya Pradesh,5-9,8151
Madhya Pradesh,10-14,8220
Madhya Pradesh,15-19,7555
Madhya Pradesh,20-24,6680
Madhya Pradesh,25-29,5886
Madhya Pradesh,30-34,5276
Madhya Pradesh,35-39,4794
Madhya Pradesh,40-44,4208
Madhya Pradesh,45-49,3493
Madhya Pradesh,50-54,2746
Madhya Pradesh,55-59,2202
Madhya Pradesh,60-64,1867
Madhya Pradesh,65-69,1489
Madhya Pradesh,70-74,1210
Madhya Pradesh,75-79,557
Madhya Pradesh,80+,182
Gujarat,0-4,5647
Gujarat,5-9,5843
Gujarat,10-14,6024
Gujarat,15-19,5939
Gujarat,20-24,5699
Gujarat,25-29,5298
Gujarat,30-34,4809
Gujarat,35-39,4347
Gujarat,40-44,3862
Gujarat,45-49,3311
Gujarat,50-54,2702
Gujarat,55-59,2142
Gujarat,60-64,1677
Gujarat,65-69,1247
Gujarat,70-74,994
Gujarat,75-79,559
Gujarat,80+,340
Maharashtra,0-4,9538
Maharashtra,5-9,9971
Maharashtra,10-14,10517
Maharashtra,15-19,10809
Maharashtra,20-24,10778
Maharashtra,25-29,10082
Maharashtra,30-34,9029
Maharashtra,35-39,8151
Maharashtra,40-44,7194
Maharashtra,45-49,6067
Maharashtra,50-54,4957
Maharashtra,55-59,4098
Maharashtra,60-64,3575
Maharashtra,65-69,2996
Maharashtra,70-74,2411
Maharashtra,75-79,1373
Maharashtra,80+,826
Andhra Pradesh,0-4,6627
Andhra Pradesh,5-9,7341
Andhra Pradesh,10-14,8024
Andhra Pradesh,15-19,8205
Andhra Pradesh,20-24,8113
Andhra Pradesh,25-29,7648
Andhra Pradesh,30-34,6932
Andhra Pradesh,35-39,6307
Andhra Pradesh,40-44,5541
Andhra Pradesh,45-49,4635
Andhra Pradesh,50-54,3755
Andhra Pradesh,55-59,3198
Andhra Pradesh,60-64,2896
Andhra Pradesh,65-69,2285
Andhra Pradesh,70-74,1665
Andhra Pradesh,75-79,879
Andhra Pradesh,80+,530
Karnataka,0-4,5077
